"Jurisdiction","GHPI","LHPI","Targeted GHPI"
"Cayman Islands",8.16976710910772e-05,0.146022881957991,-5.20029929708037e-05
"Chagos Archipelago",0.00490201160578427,0.996491575438944,0.00342863157624523
"Chile",0.00139819096486507,0.308327109164867,0.000243075799641328
"China",0.000221843977404546,0.0358533526294184,-0.00250244418657885
"Christmas Island",1.50041947964967e-05,0.188428438349857,-0.000188578961641104
"Clipperton Island",1.66404793795085e-05,0.33769537691757,-0.000328113760987613
"Cocos Islands",1.3542727837275e-05,0.0186075411391664,-0.000282226090987104
"Collectivity of Saint Martin",5.63155980439361e-05,0.986394557823129,3.87994937656821e-05
"Colombia",0.00259024308565279,0.429152944177123,0.000961148036591061
"Colombian Exclusive Economic Zone (Quitasueño)",0.000589526634775567,1,0.000412668644342897
"Comores",0.000365921905446875,0.225570953826405,-0.000195301513556107
"Cook Islands",0.00211797911464082,0.612235297250842,0.00141182862438498
"Costa Rica",0.000326957739939856,0.462016666177364,1.6107200441282e-05
"Croatia",0.000415046570815531,0.533447136358658,-0.000228677147745281
"Crozet Islands",0.000349175561530133,0.99976452858623,0.00024439196617724
"Cuba",0.0107114231236149,0.354104936811799,0.00465220472382164
"Curaçao",9.98716224035291e-06,0.0807266784008046,-3.20154338892748e-05
"Cyprus",6.72228495333339e-05,0.397723213511592,2.10994966015007e-05
"Democratic Republic of the Congo",0.00190824287528165,0.981132075471698,0.00132476091918591
"Denmark",0.00124575348659177,0.496434922099132,0.000618804838691015
"Djibouti",2.68105499514059e-05,0.0164609053497942,-0.000139007546444743
"Dominica",6.23143025842776e-06,0.0041713140004249,-0.000168524133842198
"Dominican Republic",0.000843351691925947,0.559673702608374,0.000438792132002491
"East Timor",2.70439241725773e-05,0.156849156849157,-0.000104450884293406
"Easter Island",0.00463040203834896,0.998580113887316,0.00323930622922348
"Ecuador",0.00185900498449137,0.323386267876469,0.000829080597335836
"Egypt",0.00183775858079527,0.228925828595547,0.000473650264159775
"El Salvador",0.00109723965328695,0.396551724137931,0.000675935162804276
"Equatorial Guinea",0.000526196642807529,0.514080701832819,0.000267592304801505
"Eritrea",0,0,-0.000686151868949753
"Estonia",0.000445065070338908,0.777631578947368,0.000288103844119122
"Europa Island",3.12789749433069e-05,0.333333333333333,1.82540871918882e-05
"Faeroe",1.80063248659347e-06,0.00495105635133603,-0.00283958415873396
"Falkland Islands",0.000237893331438934,0.205721031482444,-1.42699110242849e-05
"Federal Republic of Somalia",0,0,-0.000205719804950428
"Fiji",0.00182988233447694,0.166219420650537,-0.000408044092434586
"Finland",0.00022079920946247,0.464910120659936,0.000104396941373159
"France",0.00486562057599675,0.77151444125062,0.00307211104355237
"French Guiana",0.00134677910620839,0.34819734345351,0.000707929734750126
"French Polynesia",7.84159865517401e-05,0.00923192938458994,-0.00405029911776151
"Gabon",0.00660545610674417,0.516647531572905,0.00276988792742805
"Galapagos",0.00101372447288193,0.839860639057289,0.000585650491017366
"Gambia",0.00128143400109938,0.587466159052453,0.000497199609908119
"Georgia",4.45323215589875e-06,0.2,-2.22661607794937e-06
"Germany",0.00122966465341255,0.967846223478446,0.000847637891646957
"Ghana",0.000161584407538242,0.0967743888594566,-0.000502111118283248
