"Jurisdiction","GHPI","LHPI","THPI"
"Taiwan",0.000294816044431049,0.220914724629192,-9.33989001002716e-05
"Togo",1.10784372052166e-05,0.101783754116355,-9.38010384655777e-05
"Liberia",0.000166751915703257,0.11613554146791,-0.000102907124764438
"Turkey",0.000212688233117261,0.199223204634427,-0.00010538749192936
"Barbados",8.21584682872345e-07,0.0029587469312649,-0.000108707614993252
"Haiti",0.000259231071332789,0.167057174191182,-0.000109976433578056
"Northern Mariana Islands",0.000223645949368894,0.196426402884359,-0.000114518934962018
"British Virgin Islands",1.24643401826873e-06,0.00461087146353727,-0.000116922008657625
"Tromelin Island",0,0,-0.000121403442630116
"Svalbard",0.000112621319714934,0.080834651813929,-0.000125698359190018
"Protected Zone established under the Torres Strait Treaty",0,0,-0.000126448521868186
"Turks and Caicos Islands",0.000189061978510789,0.188619271328588,-0.000129231464918366
"American Samoa",4.69606241958572e-05,0.0802091983646925,-0.000136499243954346
"Ivory Coast",5.91713246831132e-05,0.0993806112787267,-0.000139352130876678
"Christmas Island",1.490316565244e-05,0.18838543295102,-0.000140936378517063
"Panama",0.00112244034259431,0.291675191877144,-0.000142000468265772
"Djibouti",2.69598952898423e-05,0.0182034299193907,-0.000147420584216804
"Western Sahara",7.46726692182298e-09,1.09870791948668e-05,-0.000149316189290765
"Bahrain",7.85596886612493e-05,0.248465214097866,-0.000160038724137377
"Oman",3.67127566969265e-05,0.18568389180827,-0.000171837765523534
"Dominica",6.34119218840224e-06,0.00513654931634115,-0.000171957295773653
"Croatia",0.000321464306379477,0.441420496844969,-0.000179798319236245
"Algeria",2.57896383088309e-05,0.260129576179955,-0.000182869557922779
"India",0.00258229090073664,0.214029293877892,-0.000193536797788326
"Samoa",9.58123493395226e-05,0.152643086963072,-0.000199079191377688
"Guam",0.000129582208864009,0.125929007561635,-0.000201340630569214
"Qatar",7.61572681624491e-05,0.273885424517341,-0.000203914614170637
"Clipperton Island",1.13532513267628e-05,0.336510780600361,-0.000211207751620611
"Jamaica",0.000264414388035146,0.178694510237843,-0.000215230432591632
"Comores",0.000367051280846817,0.213582939640109,-0.000219231388518672
"Thailand",0.00128770425456032,0.308199930536469,-0.000229547164180965
"Saint Helena",5.7617431568786e-06,0.00381557085212437,-0.000230525701978915
"Jan Mayen",4.70736506751721e-06,0.00574118058490099,-0.000241271575913577
"New Zealand",0.00362955236000037,0.222252302771156,-0.000253767269214895
"Fiji",0.00183179563257959,0.167422102524883,-0.000254593423728732
"Cocos Islands",1.34650131110775e-05,0.0185650758375619,-0.00025621257537055
"Tokelau",6.75341490291985e-06,0.0101468477709465,-0.000258945660933525
"Peru",0.000210234133246575,0.197495042194597,-0.000275406956853204
"Tristan Da Cunha",4.27141642524023e-05,0.105137645842116,-0.000301633180079228
"Federal Republic of Somalia",0,0,-0.000316835893891679
"Benin",1.46985682089164e-05,0.0615340369129195,-0.000321155262216446
"Libya",4.0114157904033e-06,0.00166584800718436,-0.000370243349774492
"Ukraine",0.00167469144841331,0.187301653033013,-0.000386613298259963
"Angola",3.31381506935897e-05,0.0775486808928824,-0.00044026825134586
"Bermuda",2.9869067687292e-09,2.23433729555814e-06,-0.000487336466430731
"Republic of Mauritius",6.04385134884999e-05,0.0356935592250409,-0.000502751690350094
"Vanuatu",5.327919477988e-05,0.0209269673159569,-0.000522818611022687
"Ghana",0.000168793605715246,0.104273068450596,-0.000549223289105521
"Vietnam",0.000394632196945163,0.0812324487383076,-0.000566812996910916
"Sri Lanka",5.91540494171346e-05,0.10289586147083,-0.000569487366231163
"Sierra Leone",0.00173840353799798,0.170420985385054,-0.000572835300357884
"Line Group",3.97638001365001e-05,0.0347026185017675,-0.000573525212319381
"Wallis and Futuna",0,0,-0.000584561108544233
"Cape Verde",3.43494278403857e-07,0.00020520250810996,-0.000622323320460715
"Madagascar",0.00218592545675825,0.25929791840966,-0.000624809461033857
"Tuvalu",0.000156494438275492,0.0267466241739515,-0.000637191328987056
"Russia",0.00378621391027568,0.115237961505626,-0.000648724667982334
"Eritrea",2.26407533069672e-06,0.00559285766988858,-0.000706025859703129
"Tonga",0.000309944992685367,0.0596015667950276,-0.000714445480837734
"Morocco",8.46062994640354e-05,0.381386723922175,-0.000768478383843855
"Marshall Islands",0.000638977290992567,0.0478949378617387,-0.000920409618087511
"Andaman and Nicobar",0,0,-0.00101058204373791
"Malaysia",0.00232123934659013,0.155585447410234,-0.00104246396594068
"Bahamas",0.00178802796220495,0.323838856134195,-0.00111422722236104
"Gilbert Islands",1.00539562317772e-05,0.000878734622144113,-0.00112570064495599
"Tunisia",0.000114629577308192,0.152798720184163,-0.00113906886878048
"Azores",0.0013421523585962,0.117135097636289,-0.00116472620689568
"Mauritania",0.00234125831803506,0.413629123478974,-0.00116930276972382
"Yemen",8.93751405670115e-06,0.0211056381565395,-0.00119807151241094
"Alaska",0.000823073436153369,0.302219974004247,-0.00128650844808844
"Solomon Islands",0.000552177643594971,0.0774505870804086,-0.0017634149194394
"Micronesia",8.10087202419361e-05,0.00386349611410962,-0.00199231927374413
"Iran",0.00349356821303634,0.277803113527174,-0.00208349034011119
"Maldives",0.000285797634620273,0.0177729603182991,-0.00251683726670454
"Kuwait",0.00167323047651139,0.12746187160519,-0.00252314982312484
"Guinea",0.00150472625520213,0.374429607276922,-0.0027787476907813
"Faeroe",7.8256957340705e-07,0.00495105635133603,-0.00280975841254027
"Myanmar",0.00029827868199123,0.0231703862099166,-0.00285520844172928
"Antarctica",0.00482408879853364,0.195439132374157,-0.0029256415047188
"Iraq",3.15400965692704e-05,0.00379879973379915,-0.00296374006442338
"China",0.000252487649580528,0.037825379803899,-0.00323674786513639
"Indonesia",0.0213048359516852,0.171979436283363,-0.00326247064408156
"French Polynesia",7.64365120017985e-05,0.00971302658601873,-0.00350548165017576
"Saudi Arabia",0.000686320855754037,0.0648445125743222,-0.00399432365000581
"Philippines",0.00394630499788195,0.110599964826441,-0.00480848232241043
"Nigeria",0.000742242057838431,0.0411196162530439,-0.00528791765955839
"Papua New Guinea",0.00143338970907908,0.0426996064799101,-0.00564304864293065
"Norway",0.00406988358568111,0.167840266816793,-0.0109200311169201
"High Seas",0.00798945146405465,0.0716833543104139,-0.0568601343440484
