"ID","category","pixel_counts","group","percent_protected","UNION","ISO_TER1","ISO_SOV1"
3,"Seagrasses.Py.v7_with_No_take_mpas",0,15,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
4,"ColdCorals_Pt_v5",0,16,NA,"Cameroon","CMR","CMR"
4,"ColdCorals_Pt_v5_with_All_mpas",0,16,NA,"Cameroon","CMR","CMR"
4,"ColdCorals_Pt_v5_with_Managed_mpas",0,16,NA,"Cameroon","CMR","CMR"
4,"ColdCorals_Pt_v5_with_No_take_mpas",0,16,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4",0,17,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4_with_All_mpas",0,17,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4_with_Managed_mpas",0,17,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4_with_No_take_mpas",0,17,NA,"Cameroon","CMR","CMR"
4,"Mangroves_v2",1899,18,100,"Cameroon","CMR","CMR"
4,"Mangroves_v2_with_All_mpas",1451,18,76.4086361242759,"Cameroon","CMR","CMR"
4,"Mangroves_v2_with_Managed_mpas",1,18,0.0526592943654555,"Cameroon","CMR","CMR"
4,"Mangroves_v2_with_No_take_mpas",0,18,0,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6",0,19,NA,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6_with_All_mpas",0,19,NA,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6_with_Managed_mpas",0,19,NA,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6_with_No_take_mpas",0,19,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7",0,20,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7_with_All_mpas",0,20,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7_with_Managed_mpas",0,20,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7_with_No_take_mpas",0,20,NA,"Cameroon","CMR","CMR"
5,"ColdCorals_Pt_v5",0,21,NA,"Finland","FIN","FIN"
5,"ColdCorals_Pt_v5_with_All_mpas",0,21,NA,"Finland","FIN","FIN"
5,"ColdCorals_Pt_v5_with_Managed_mpas",0,21,NA,"Finland","FIN","FIN"
5,"ColdCorals_Pt_v5_with_No_take_mpas",0,21,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4",0,22,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4_with_All_mpas",0,22,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4_with_Managed_mpas",0,22,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4_with_No_take_mpas",0,22,NA,"Finland","FIN","FIN"
5,"Mangroves_v2",0,23,NA,"Finland","FIN","FIN"
5,"Mangroves_v2_with_All_mpas",0,23,NA,"Finland","FIN","FIN"
5,"Mangroves_v2_with_Managed_mpas",0,23,NA,"Finland","FIN","FIN"
5,"Mangroves_v2_with_No_take_mpas",0,23,NA,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6",129,24,100,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6_with_All_mpas",85,24,65.8914728682171,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6_with_Managed_mpas",20,24,15.5038759689922,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6_with_No_take_mpas",0,24,0,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7",0,25,NA,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7_with_All_mpas",0,25,NA,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7_with_Managed_mpas",0,25,NA,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7_with_No_take_mpas",0,25,NA,"Finland","FIN","FIN"
6,"ColdCorals_Pt_v5",0,26,NA,"Bassas da India","ATF","FRA"
6,"ColdCorals_Pt_v5_with_All_mpas",0,26,NA,"Bassas da India","ATF","FRA"
6,"ColdCorals_Pt_v5_with_Managed_mpas",0,26,NA,"Bassas da India","ATF","FRA"
6,"ColdCorals_Pt_v5_with_No_take_mpas",0,26,NA,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4",34,27,100,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4_with_All_mpas",0,27,0,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4_with_Managed_mpas",0,27,0,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4_with_No_take_mpas",0,27,0,"Bassas da India","ATF","FRA"
6,"Mangroves_v2",0,28,NA,"Bassas da India","ATF","FRA"
6,"Mangroves_v2_with_All_mpas",0,28,NA,"Bassas da India","ATF","FRA"
6,"Mangroves_v2_with_Managed_mpas",0,28,NA,"Bassas da India","ATF","FRA"
6,"Mangroves_v2_with_No_take_mpas",0,28,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6",0,29,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6_with_All_mpas",0,29,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6_with_Managed_mpas",0,29,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6_with_No_take_mpas",0,29,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7",0,30,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7_with_All_mpas",0,30,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7_with_Managed_mpas",0,30,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7_with_No_take_mpas",0,30,NA,"Bassas da India","ATF","FRA"
7,"ColdCorals_Pt_v5",273,31,100,"Faeroe","FRO","DNK"
7,"ColdCorals_Pt_v5_with_All_mpas",0,31,0,"Faeroe","FRO","DNK"
7,"ColdCorals_Pt_v5_with_Managed_mpas",0,31,0,"Faeroe","FRO","DNK"
7,"ColdCorals_Pt_v5_with_No_take_mpas",0,31,0,"Faeroe","FRO","DNK"
7,"CoralReef2018_Py_v4",0,32,NA,"Faeroe","FRO","DNK"
7,"CoralReef2018_Py_v4_with_All_mpas",0,32,NA,"Faeroe","FRO","DNK"
7,"CoralReef2018_Py_v4_with_Managed_mpas",0,32,NA,"Faeroe","FRO","DNK"
7,"CoralReef2018_Py_v4_with_No_take_mpas",0,32,NA,"Faeroe","FRO","DNK"
7,"Mangroves_v2",0,33,NA,"Faeroe","FRO","DNK"
7,"Mangroves_v2_with_All_mpas",0,33,NA,"Faeroe","FRO","DNK"
7,"Mangroves_v2_with_Managed_mpas",0,33,NA,"Faeroe","FRO","DNK"
7,"Mangroves_v2_with_No_take_mpas",0,33,NA,"Faeroe","FRO","DNK"
7,"Saltmarshes_Py_v6",0,34,NA,"Faeroe","FRO","DNK"
7,"Saltmarshes_Py_v6_with_All_mpas",0,34,NA,"Faeroe","FRO","DNK"
7,"Saltmarshes_Py_v6_with_Managed_mpas",0,34,NA,"Faeroe","FRO","DNK"
7,"Saltmarshes_Py_v6_with_No_take_mpas",0,34,NA,"Faeroe","FRO","DNK"
7,"Seagrasses.Py.v7",0,35,NA,"Faeroe","FRO","DNK"
7,"Seagrasses.Py.v7_with_All_mpas",0,35,NA,"Faeroe","FRO","DNK"
7,"Seagrasses.Py.v7_with_Managed_mpas",0,35,NA,"Faeroe","FRO","DNK"
7,"Seagrasses.Py.v7_with_No_take_mpas",0,35,NA,"Faeroe","FRO","DNK"
8,"ColdCorals_Pt_v5",1,36,100,"Gilbert Islands","KIR","KIR"
8,"ColdCorals_Pt_v5_with_All_mpas",0,36,0,"Gilbert Islands","KIR","KIR"
8,"ColdCorals_Pt_v5_with_Managed_mpas",0,36,0,"Gilbert Islands","KIR","KIR"
8,"ColdCorals_Pt_v5_with_No_take_mpas",0,36,0,"Gilbert Islands","KIR","KIR"
8,"CoralReef2018_Py_v4",1702,37,100,"Gilbert Islands","KIR","KIR"
8,"CoralReef2018_Py_v4_with_All_mpas",0,37,0,"Gilbert Islands","KIR","KIR"
8,"CoralReef2018_Py_v4_with_Managed_mpas",0,37,0,"Gilbert Islands","KIR","KIR"
8,"CoralReef2018_Py_v4_with_No_take_mpas",0,37,0,"Gilbert Islands","KIR","KIR"
8,"Mangroves_v2",0,38,NA,"Gilbert Islands","KIR","KIR"
8,"Mangroves_v2_with_All_mpas",0,38,NA,"Gilbert Islands","KIR","KIR"
8,"Mangroves_v2_with_Managed_mpas",0,38,NA,"Gilbert Islands","KIR","KIR"
8,"Mangroves_v2_with_No_take_mpas",0,38,NA,"Gilbert Islands","KIR","KIR"
8,"Saltmarshes_Py_v6",0,39,NA,"Gilbert Islands","KIR","KIR"
8,"Saltmarshes_Py_v6_with_All_mpas",0,39,NA,"Gilbert Islands","KIR","KIR"
8,"Saltmarshes_Py_v6_with_Managed_mpas",0,39,NA,"Gilbert Islands","KIR","KIR"
8,"Saltmarshes_Py_v6_with_No_take_mpas",0,39,NA,"Gilbert Islands","KIR","KIR"
8,"Seagrasses.Py.v7",494,40,100,"Gilbert Islands","KIR","KIR"
8,"Seagrasses.Py.v7_with_All_mpas",0,40,0,"Gilbert Islands","KIR","KIR"
8,"Seagrasses.Py.v7_with_Managed_mpas",0,40,0,"Gilbert Islands","KIR","KIR"
8,"Seagrasses.Py.v7_with_No_take_mpas",0,40,0,"Gilbert Islands","KIR","KIR"
9,"ColdCorals_Pt_v5",0,41,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"ColdCorals_Pt_v5_with_All_mpas",0,41,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"ColdCorals_Pt_v5_with_Managed_mpas",0,41,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"ColdCorals_Pt_v5_with_No_take_mpas",0,41,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"CoralReef2018_Py_v4",0,42,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"CoralReef2018_Py_v4_with_All_mpas",0,42,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"CoralReef2018_Py_v4_with_Managed_mpas",0,42,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"CoralReef2018_Py_v4_with_No_take_mpas",0,42,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Mangroves_v2",0,43,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Mangroves_v2_with_All_mpas",0,43,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Mangroves_v2_with_Managed_mpas",0,43,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Mangroves_v2_with_No_take_mpas",0,43,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Saltmarshes_Py_v6",0,44,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Saltmarshes_Py_v6_with_All_mpas",0,44,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Saltmarshes_Py_v6_with_Managed_mpas",0,44,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Saltmarshes_Py_v6_with_No_take_mpas",0,44,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
