"UNION","ISO_TER1","MRGID_EEZ","habitat","total","all_mpas","world_area","global_fraction","LPHPI","GPHPI","Target_analysis"
"Easter Island",NA,21787,"coldcorals",0,0,15343,0,NA,NA,NA
"Réunion","REU",8338,"coldcorals",0,0,15343,0,NA,NA,NA
"Tuvalu","TUV",8326,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Norway","NOR",5686,"coldcorals",3045.1064453125,250.059280395508,15343,0.198503765188574,0.0821184037032393,0.0163008123263683,-0.0432503172302038
"Puerto Rico","PRI",33179,"coldcorals",34.0208892822266,6.02088975906372,15343,0.00221774664986876,0.176976260353347,0.000392488508504936,-0.000272835486455692
"Jamaica","JAM",8459,"coldcorals",21,1,15343,0.00136894362933584,0.0476190476190476,6.51877918731351e-05,-0.000345495296927616
"East Timor","TLS",8758,"coldcorals",6,0,15343,0.000391126751238811,0,0,-0.000117338025371643
"Andaman and Nicobar",NA,8333,"coldcorals",4,0,15343,0.00026075116749254,0,0,-7.82253502477621e-05
"Azores",NA,8361,"coldcorals",198,39,15343,0.0129071827908808,0.196969696969697,0.00254232388305227,-0.00132983095421196
"Myanmar","MMR",8482,"coldcorals",6,0,15343,0.000391126751238811,0,0,-0.000117338025371643
"Federal Republic of Somalia","SOM",8350,"coldcorals",9,0,15343,0.000586690126858216,0,0,-0.000176007038057465
"Romania","ROU",5689,"coldcorals",0,0,15343,0,NA,NA,NA
"Canada","CAN",8493,"coldcorals",205.013580322266,24,15343,0.0133643826052141,0.117065415677702,0.00156450700495524,-0.002444807776609
"Algeria","DZA",8378,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"South Africa","ZAF",8396,"coldcorals",38,19,15343,0.00247713609117913,0.5,0.00123856804558957,0.000495427218235827
"Tonga","TON",8448,"coldcorals",2,0,15343,0.00013037558374627,0,0,-3.91126751238811e-05
"Djibouti","DJI",8352,"coldcorals",0,0,15343,0,NA,NA,NA
"Sint-Maarten","SXM",21803,"coldcorals",0,0,15343,0,NA,NA,NA
"Greece","GRC",5679,"coldcorals",18,1,15343,0.00117338025371643,0.0555555555555556,6.51877918731351e-05,-0.000286826284241795
