"UNION","MRGID_EEZ","ISO_TER1","G_Hs_P_I","L_Hs_P_I","T_Hs_I"
"Fiji",8325,"FJI",0.00183179563257959,0.167422102524883,-0.000254593423728732
"Finland",5676,"FIN",0.00022079920946247,0.464910120659936,0.000104396941373159
"France",5677,"FRA",0.00506499418675465,0.746564520886467,0.00309635386677866
"French Guiana",8462,"GUF",0.000937198264701143,0.337592202036754,0.000473990426043475
"French Polynesia",8440,"PYF",7.64365120017983e-05,0.00971302658601871,-0.00350548165017576
"Gabon",8476,"GAB",0.00337757097627613,0.41935019116304,0.00139006889834781
"Galapagos",8403,NA,0.000980334273739312,0.831554208268087,0.000574998477167004
"Gambia",8370,"GMB",0.000856037670161551,0.407196591244166,0.00032197322038592
"Georgia",5678,"GEO",1.63755934414196e-05,0.139276001591934,-4.10010584099381e-05
"Germany",5669,"DEU",0.000916775237287256,0.776444771007444,0.000588166579061543
"Ghana",8400,"GHA",0.000168793605715246,0.104273068450596,-0.00054922328910552
"Gilbert Islands",8488,"KIR",1.00539562317772e-05,0.000878734622144112,-0.00112570064495599
"Glorioso Islands",48945,NA,0.000608359778773829,0.998977560135608,0.000425817794404517
"Grand Duchy of Luxembourg",NA,"LUX",4.665548372755e-06,0.418542336548767,1.32140755448579e-06
"Greece",5679,"GRC",0.000711108764058657,0.440906797861251,0.000295787009766476
"Greenland",8438,"GRL",0.00338996778238172,0.270357386821106,0.00176794031711057
"Grenada",8419,"GRD",6.7574013745465e-06,0.153766948860899,-7.62266068101065e-05
"Guadeloupe",33177,"GLP",0.000830955517845486,0.977926104211241,0.000577191986466579
"Guam",48957,"GUM",0.000129582208864009,0.125929007561635,-0.000201340630569214
"Guatemala",8430,"GTM",0.000175431629127457,0.331868124599234,2.92617595663097e-05
"Guernsey",21788,"GGY",3.19001642900278e-06,0.100319368777005,-2.9779809363954e-06
"Guinea",8472,"GIN",0.00150472625520213,0.374429607276922,-0.0027787476907813
"Guinea-Bissau",8471,"GNB",0.00835461643034939,0.276025898910581,0.00332316887573476
"Guyana",8460,"GUY",0.000374842515625856,0.206522609875303,-4.22366047408471e-07
"Haiti",8408,"HTI",0.000259231071332789,0.167057174191182,-0.000109976433578055
"Hala'ib Triangle",26582,"SDN",0.00202429843462472,0.751461988304094,0.00133360766606397
"Hawaii",8453,NA,0.00633195223264297,0.377255148445677,0.00333557012776803
"Heard and McDonald Islands",8388,"HMD",7.56806542588664e-05,0.387590614269363,9.15184394186246e-06
"High Seas",NA,NA,0.00798945146405466,0.0716833543104138,-0.0568601343440485
"Honduras",8427,"HND",0.0012170855118577,0.360120082527859,0.000243980691868959
"Howland and Baker islands",8451,"UMI",7.37536647378831e-05,0.69745815623274,-6.87925679715679e-05
"Iceland",5680,"ISL",0.00508289615969915,0.284584759147144,0.00247939448302559
"India",8480,"IND",0.00258229090073664,0.214029293877892,-0.000193536797788327
"Indonesia",8492,"IDN",0.0213048359516852,0.171979436283363,-0.00326247064408156
"Iran",8469,"IRN",0.00349356821303635,0.277803113527174,-0.00208349034011119
"Iraq",8470,"IRQ",3.15400965692704e-05,0.00379879973379915,-0.00296374006442338
"Ireland",5681,"IRL",0.00332285488771932,0.484980655697212,0.000893519248956369
"Islas San Félix and San Ambrosio",22756,"CHL",0.000600230862803206,0.527377415731517,0.000258787991968112
"Israel",8375,"ISR",6.70336630785663e-06,0.234213854668071,-9.67226878126724e-06
