"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","pp_all_mpas","pp_mean_all"
"Cook Islands","COK","NZL",96,"saltmarshes",2,0,0,61.2161531243617
"Cook Islands","COK","NZL",96,"seagrasses",0,0,NA,61.2161531243617
"Cook Islands","COK","NZL",96,"knolls_seamounts",552451.25,551593.25,99.8446921787216,61.2161531243617
"Brunei","BRN","BRN",97,"coldcorals",0,0,NA,21.97750704513
"Brunei","BRN","BRN",97,"coralreefs",66,0,0,21.97750704513
"Brunei","BRN","BRN",97,"mangroves",101.514381408691,65.5006561279297,64.5235238780877,21.97750704513
"Brunei","BRN","BRN",97,"saltmarshes",0,0,NA,21.97750704513
"Brunei","BRN","BRN",97,"seagrasses",0,0,NA,21.97750704513
"Brunei","BRN","BRN",97,"knolls_seamounts",9423.4609375,132.776306152344,1.40899725730246,21.97750704513
"Abu musa, Greater and Lesser Tunb","ARE","ARE",98,"coldcorals",0,0,NA,0
"Abu musa, Greater and Lesser Tunb","ARE","ARE",98,"coralreefs",1,0,0,0
"Abu musa, Greater and Lesser Tunb","ARE","ARE",98,"mangroves",0,0,NA,0
"Abu musa, Greater and Lesser Tunb","ARE","ARE",98,"saltmarshes",0,0,NA,0
"Abu musa, Greater and Lesser Tunb","ARE","ARE",98,"seagrasses",0,0,NA,0
"Abu musa, Greater and Lesser Tunb","ARE","ARE",98,"knolls_seamounts",0,0,NA,0
"Jersey","JEY","GBR",99,"coldcorals",0,0,NA,71.4285714285714
"Jersey","JEY","GBR",99,"coralreefs",0,0,NA,71.4285714285714
"Jersey","JEY","GBR",99,"mangroves",0,0,NA,71.4285714285714
"Jersey","JEY","GBR",99,"saltmarshes",0,0,NA,71.4285714285714
"Jersey","JEY","GBR",99,"seagrasses",7,5,71.4285714285714,71.4285714285714
"Jersey","JEY","GBR",99,"knolls_seamounts",0,0,NA,71.4285714285714
"China","CHN","CHN",100,"coldcorals",1,0,0,3.58117974282997
"China","CHN","CHN",100,"coralreefs",582.115661621094,0,0,3.58117974282997
"China","CHN","CHN",100,"mangroves",155.223892211914,26,16.749998746652,3.58117974282997
"China","CHN","CHN",100,"saltmarshes",5389.8935546875,240,4.4527781034057,3.58117974282997
"China","CHN","CHN",100,"seagrasses",8090,23,0.284301606922126,3.58117974282997
"China","CHN","CHN",100,"knolls_seamounts",17480.943359375,0,0,3.58117974282997
"Amsterdam and Saint Paul Islands","ATF","FRA",101,"coldcorals",10,10,100,99.9461604310368
"Amsterdam and Saint Paul Islands","ATF","FRA",101,"coralreefs",0,0,NA,99.9461604310368
"Amsterdam and Saint Paul Islands","ATF","FRA",101,"mangroves",0,0,NA,99.9461604310368
"Amsterdam and Saint Paul Islands","ATF","FRA",101,"saltmarshes",0,0,NA,99.9461604310368
"Amsterdam and Saint Paul Islands","ATF","FRA",101,"seagrasses",0,0,NA,99.9461604310368
"Amsterdam and Saint Paul Islands","ATF","FRA",101,"knolls_seamounts",152246.296875,152082.359375,99.8923208620735,99.9461604310368
"Croatia","HRV","HRV",102,"coldcorals",73.2932281494141,1,1.36438252925826,52.8264103545273
"Croatia","HRV","HRV",102,"coralreefs",0,0,NA,52.8264103545273
"Croatia","HRV","HRV",102,"mangroves",0,0,NA,52.8264103545273
"Croatia","HRV","HRV",102,"saltmarshes",102.626388549805,100.025405883789,97.4655810237795,52.8264103545273
"Croatia","HRV","HRV",102,"seagrasses",394.044891357422,235.044891357422,59.6492675105442,52.8264103545273
"Croatia","HRV","HRV",102,"knolls_seamounts",0,0,NA,52.8264103545273
"Iraq","IRQ","IRQ",103,"coldcorals",0,0,NA,0.477943938835071
"Iraq","IRQ","IRQ",103,"coralreefs",0,0,NA,0.477943938835071
"Iraq","IRQ","IRQ",103,"mangroves",0,0,NA,0.477943938835071
"Iraq","IRQ","IRQ",103,"saltmarshes",6521.32373046875,23.5786418914795,0.361562205251612,0.477943938835071
"Iraq","IRQ","IRQ",103,"seagrasses",75.3827285766602,0.448018908500671,0.59432567241853,0.477943938835071
"Iraq","IRQ","IRQ",103,"knolls_seamounts",0,0,NA,0.477943938835071
