"ID","category","pixel_counts","group","percent_protected","UNION","ISO_TER1","ISO_SOV1"
3,"Seagrasses.Py.v7_with_No_take_mpas",0,15,0,"Honduras","HND","HND"
4,"ColdCorals_Pt_v5",1,16,100,"Guatemala","GTM","GTM"
4,"ColdCorals_Pt_v5_with_All_mpas",0,16,0,"Guatemala","GTM","GTM"
4,"ColdCorals_Pt_v5_with_Managed_mpas",0,16,0,"Guatemala","GTM","GTM"
4,"ColdCorals_Pt_v5_with_No_take_mpas",0,16,0,"Guatemala","GTM","GTM"
4,"CoralReef2018_Py_v4",0,17,NA,"Guatemala","GTM","GTM"
4,"CoralReef2018_Py_v4_with_All_mpas",0,17,NA,"Guatemala","GTM","GTM"
4,"CoralReef2018_Py_v4_with_Managed_mpas",0,17,NA,"Guatemala","GTM","GTM"
4,"CoralReef2018_Py_v4_with_No_take_mpas",0,17,NA,"Guatemala","GTM","GTM"
4,"Mangroves_v2",255,18,100,"Guatemala","GTM","GTM"
4,"Mangroves_v2_with_All_mpas",43,18,16.8627450980392,"Guatemala","GTM","GTM"
4,"Mangroves_v2_with_Managed_mpas",0,18,0,"Guatemala","GTM","GTM"
4,"Mangroves_v2_with_No_take_mpas",0,18,0,"Guatemala","GTM","GTM"
4,"Saltmarshes_Py_v6",0,19,NA,"Guatemala","GTM","GTM"
4,"Saltmarshes_Py_v6_with_All_mpas",0,19,NA,"Guatemala","GTM","GTM"
4,"Saltmarshes_Py_v6_with_Managed_mpas",0,19,NA,"Guatemala","GTM","GTM"
4,"Saltmarshes_Py_v6_with_No_take_mpas",0,19,NA,"Guatemala","GTM","GTM"
4,"Seagrasses.Py.v7",0,20,NA,"Guatemala","GTM","GTM"
4,"Seagrasses.Py.v7_with_All_mpas",0,20,NA,"Guatemala","GTM","GTM"
4,"Seagrasses.Py.v7_with_Managed_mpas",0,20,NA,"Guatemala","GTM","GTM"
4,"Seagrasses.Py.v7_with_No_take_mpas",0,20,NA,"Guatemala","GTM","GTM"
